class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
0,8.48,0,2,7,0,2,0,0,6.49,16.49,1,0,0,0,1
0,1.0,3,0,7,1,1,0,0,6.1,1.07,3,0,0,0,1
1,2.75,1,5,5,0,1,0,5,7.17,2.75,0,0,0,2,1
1,7.39,4,2,5,0,1,0,4,1.42,13.92,0,0,0,0,2
0,4.5,0,5,5,0,2,0,5,5.2,5.64,3,1,6,0,2
0,1.17,1,0,7,1,1,0,2,6.2,1.14,3,0,0,0,1
1,7.94,2,2,0,0,2,0,4,6.44,15.98,0,0,0,0,0
1,2.24,1,2,3,0,1,0,0,3.32,3.65,5,0,0,0,0
0,5.77,2,9,8,0,0,1,8,6.01,13.24,1,0,0,0,0
0,8.64,0,1,0,0,2,0,0,8.48,18.15,1,0,0,0,1
1,2.32,3,5,5,0,1,0,5,7.9,3.07,0,0,0,2,0
1,16.36,1,5,8,0,4,0,0,16.99,17.33,1,1,3,0,1
0,46.08,4,8,0,0,5,0,4,5.41,23.74,3,0,0,0,3
0,3.25,0,9,5,0,5,0,11,3.73,9.37,0,0,0,0,0
1,15.27,1,5,7,0,4,0,0,17.82,18.21,1,1,2,0,0
1,6.0,6,8,5,0,1,0,9,8.5,12.27,1,1,4,2,2
0,9.5,1,2,5,0,6,0,1,6.6,19.03,5,0,0,0,2
0,4.69,0,2,3,0,2,0,5,7.84,9.51,1,1,0,0,1
0,53.39,4,8,0,0,5,0,4,6.62,29.07,2,0,0,0,1
1,1.35,0,3,0,0,3,2,3,3.78,5.87,0,0,0,0,0
1,7.27,0,2,6,1,2,0,7,10.2,20.62,8,0,0,0,0
1,6.27,2,2,7,1,0,0,2,5.96,4.77,3,0,0,0,0
1,0.79,1,2,8,0,0,0,8,4.34,1.03,6,0,0,2,0
1,4.28,0,2,1,0,2,0,0,5.05,6.22,1,0,0,0,1
0,9.59,4,2,5,0,1,0,0,5.02,26.32,3,0,0,0,0
1,10.29,0,1,0,1,5,0,11,8.36,27.01,5,0,0,0,0
0,12.7,2,2,3,1,0,0,0,6.8,27.56,1,0,0,0,1
0,5.5,2,10,5,0,3,2,3,5.26,50.6,3,0,0,4,1
0,7.54,0,9,7,1,5,0,4,6.76,13.98,4,0,0,0,1
1,0.62,0,0,8,0,1,0,4,3.36,0.71,1,0,0,0,0
0,9.51,0,5,5,1,5,0,4,7.42,17.87,3,1,2,0,0
0,4.94,1,5,6,0,6,1,9,4.47,9.29,8,0,0,0,0
0,10.97,1,8,3,0,4,0,0,14.12,12.4,1,1,7,2,2
0,8.12,0,5,5,0,5,1,4,7.49,12.46,3,0,0,3,1
0,8.89,1,3,3,0,4,0,0,19.43,11.24,1,1,7,2,2
0,3.4,1,5,5,0,1,0,6,4.78,6.06,1,0,0,0,1
1,1.45,0,4,5,0,1,0,5,4.34,1.45,3,0,0,0,2
1,9.79,0,8,5,0,1,0,4,14.04,13.2,3,1,0,0,1
0,5.9,2,10,5,0,3,2,3,8.24,57.68,3,0,0,4,0
1,3.24,0,2,5,0,6,0,2,5.12,8.74,1,1,4,0,0
1,10.47,0,2,5,0,4,0,0,10.64,13.22,1,1,3,0,1
0,3.56,0,9,5,0,5,0,5,5.21,10.28,0,0,0,0,0
0,3.6,1,2,0,0,2,0,5,6.28,3.64,1,0,0,0,1
0,9.25,0,8,5,1,4,0,2,8.9,16.71,1,1,1,4,0
0,6.73,1,8,3,0,4,0,6,4.58,12.0,1,1,7,2,1
1,6.79,0,2,0,0,2,0,4,5.54,15.82,0,0,0,0,0
0,8.19,0,6,0,0,3,2,3,4.44,12.29,0,0,0,0,1
1,5.79,2,9,5,1,0,0,0,7.21,9.04,3,0,0,0,0
0,1.55,0,6,6,0,1,1,6,5.1,2.58,1,0,0,2,1
0,12.01,2,2,3,1,0,0,8,6.37,18.11,1,0,0,0,1
1,1.62,4,4,5,0,1,0,5,4.83,1.63,3,0,0,0,0
1,1.38,0,0,0,0,0,1,5,2.31,2.65,3,0,0,3,1
0,7.6,0,9,7,1,5,0,4,5.58,11.61,4,0,0,0,0
1,8.59,0,7,5,0,1,0,6,7.6,7.85,3,1,4,2,1
1,4.11,5,2,5,0,1,0,6,11.11,7.12,1,1,0,2,0
1,6.0,1,6,7,0,2,0,0,13.81,7.12,3,0,0,0,0
1,6.69,1,9,5,1,0,0,0,6.06,8.69,4,0,0,0,0
1,4.59,2,2,10,0,1,0,0,5.33,8.04,0,0,0,0,1
1,2.64,1,9,1,0,2,0,4,3.5,2.93,3,0,0,4,1
0,9.38,6,2,5,0,1,0,0,7.35,13.86,1,0,0,0,1
1,4.02,0,3,8,0,1,0,4,6.09,7.84,6,0,0,2,0
0,5.66,0,5,5,0,2,0,5,5.61,6.06,3,1,6,0,1
0,4.46,0,4,5,0,5,0,11,4.93,10.71,0,0,0,0,0
1,9.1,0,5,4,0,1,0,0,11.23,15.48,1,1,3,0,1
0,5.24,0,8,6,0,6,0,0,4.08,7.52,1,0,0,0,1
1,5.88,0,2,0,0,6,1,4,4.92,11.15,0,0,0,0,0
0,8.13,6,2,6,0,1,0,0,8.32,13.91,1,0,0,0,0
1,11.95,1,9,7,0,5,0,4,4.8,30.98,3,0,0,0,2
0,8.92,0,2,5,1,5,0,5,7.56,18.51,3,1,2,0,0
0,9.09,1,8,7,0,1,0,0,7.3,26.07,3,1,7,0,0
1,3.59,1,8,3,0,4,0,0,4.2,3.49,1,1,7,1,0
0,3.15,2,2,5,0,3,2,3,6.25,8.35,0,0,0,0,0
0,10.26,1,2,5,1,1,0,0,11.29,15.92,1,1,3,0,0
1,11.71,0,2,5,0,1,1,0,9.17,28.26,1,0,0,0,0
1,5.81,0,9,7,1,0,0,5,6.7,8.09,4,0,0,0,0
1,2.53,0,0,5,0,1,0,2,6.69,2.5,1,0,0,0,1
1,3.13,2,3,6,0,0,0,0,3.43,8.72,1,0,0,2,0
1,6.01,0,2,5,0,0,0,4,5.6,9.04,3,0,0,4,0
0,5.94,0,2,6,0,1,1,5,5.99,4.51,1,1,1,0,1
1,1.38,0,4,5,0,1,0,5,3.74,1.53,3,0,0,0,2
1,2.55,1,2,3,0,2,0,2,6.72,3.49,3,0,0,0,1
0,8.04,0,2,6,1,5,0,9,11.35,26.06,1,0,0,0,1
0,9.88,0,7,5,1,4,0,2,8.77,16.49,1,1,2,0,0
1,4.19,1,4,3,0,6,0,2,4.24,3.2,3,0,0,2,1
0,6.86,0,2,0,0,4,0,0,6.34,12.62,1,1,3,0,1
0,5.98,1,5,5,0,6,0,4,8.21,12.57,3,0,0,0,0
1,3.89,2,9,8,0,0,0,8,2.67,5.49,6,0,0,0,0
0,9.75,6,8,5,1,4,0,2,8.47,16.51,1,1,1,0,0
0,4.0,5,0,3,0,2,1,0,4.37,2.98,0,0,0,2,1
1,7.89,2,2,5,0,2,0,4,5.08,15.0,0,0,0,0,0
1,7.13,3,1,3,1,2,0,10,7.03,12.87,1,0,0,2,1
1,1.84,5,0,8,0,1,0,5,6.11,2.53,3,0,0,1,3
1,4.21,2,4,5,0,5,0,5,3.06,4.4,3,1,0,0,1
1,20.7,2,4,3,1,0,1,5,7.67,29.77,1,0,0,0,1
1,2.32,5,2,6,0,1,0,5,9.04,2.42,3,0,0,2,1
0,7.7,0,9,0,1,5,0,10,5.72,12.84,0,0,0,0,0
0,7.8,0,2,5,0,5,1,4,7.7,12.82,3,0,0,3,1
1,2.75,4,10,6,0,3,2,3,0.0,0.0,7,0,0,0,1
0,2.84,0,2,1,0,1,1,7,6.78,5.33,1,0,0,0,2
1,2.99,1,6,10,0,1,0,9,3.85,4.71,5,0,0,4,1
0,16.17,1,3,5,1,4,0,5,9.38,17.7,1,1,1,1,1
1,8.74,4,2,5,0,3,2,3,2.75,23.08,3,0,0,0,1
1,1.41,0,2,5,0,1,0,5,4.99,2.6,3,0,0,2,0
1,10.06,1,2,5,0,2,0,0,10.08,12.01,1,0,0,0,1
0,3.81,5,0,5,0,2,1,0,4.54,3.09,0,0,0,2,1
0,11.06,1,1,5,0,1,0,0,6.66,23.36,1,0,0,4,0
1,8.53,2,5,4,1,0,0,0,4.7,13.9,3,0,0,0,0
0,3.45,1,2,5,0,0,0,8,5.72,6.74,1,0,0,0,2
1,2.52,1,2,10,0,1,0,5,3.81,3.43,5,0,0,5,0
1,5.47,5,8,5,0,1,0,0,7.85,10.53,1,1,4,0,2
1,6.25,0,3,6,1,6,1,10,5.57,15.74,3,0,0,0,0
1,6.55,0,1,7,0,1,0,4,7.98,10.25,4,1,4,0,0
0,6.71,2,10,3,0,0,0,0,3.34,9.4,1,0,0,2,1
0,9.0,0,7,5,1,4,0,2,8.48,16.32,1,1,2,4,0
1,4.03,0,2,8,0,1,0,4,5.53,6.51,6,0,0,2,1
1,3.1,5,8,5,0,1,0,9,5.89,4.43,1,0,0,0,0
1,3.29,4,10,6,0,3,2,3,0.0,0.0,7,0,0,0,2
1,9.39,4,2,5,0,3,2,3,3.66,25.43,3,0,0,0,1
1,1.38,0,0,0,0,0,1,5,1.72,2.48,3,0,0,3,1
0,7.45,0,5,5,0,5,1,4,7.65,11.77,3,0,0,0,0
0,10.83,0,2,5,1,1,0,0,11.48,16.76,1,1,3,0,0
0,7.61,0,9,5,1,5,0,4,7.33,16.19,0,0,0,0,1
1,3.38,0,4,3,0,6,0,2,3.94,2.83,3,0,0,2,1
1,2.93,4,2,9,0,3,2,3,3.44,14.52,3,0,0,0,1
1,5.63,6,8,6,0,1,0,9,6.5,9.81,1,1,4,2,1
1,3.04,4,10,6,0,3,2,3,0.0,0.0,7,0,0,0,2
0,8.29,0,3,9,0,1,0,0,5.76,18.98,1,0,0,0,0
0,3.3,2,2,0,0,3,2,3,6.19,6.66,0,0,0,0,0
0,9.08,2,2,5,0,1,0,0,4.34,23.52,3,0,0,0,0
0,19.13,6,8,3,0,1,0,0,31.36,20.64,3,1,5,1,1
1,4.53,2,4,5,0,5,0,5,3.27,5.98,3,1,0,0,1
0,6.36,0,5,5,0,2,0,5,6.22,6.49,3,1,6,0,0
1,4.16,0,7,7,0,1,0,11,5.21,7.6,4,0,0,0,0
0,8.17,0,2,5,0,5,1,4,7.8,12.83,3,0,0,0,1
0,3.98,1,9,5,1,0,0,2,4.72,6.23,8,0,0,0,1
1,0.85,0,0,8,0,1,0,4,3.83,0.79,0,0,0,0,1
0,7.39,1,3,5,0,6,0,0,5.53,9.71,3,0,0,4,1
0,7.15,0,2,5,1,5,0,9,11.37,24.38,1,0,0,0,0
1,1.55,5,0,3,0,1,0,5,5.31,3.05,3,0,0,0,0
0,15.71,0,8,5,1,4,0,0,9.07,16.78,1,1,0,0,1
1,4.67,0,2,0,0,6,1,4,5.54,12.34,0,0,0,0,0
0,6.77,0,2,5,0,4,0,0,13.07,12.12,1,0,0,0,1
0,7.54,0,2,0,0,5,0,4,7.34,14.79,0,1,0,0,0
0,1.49,0,6,5,0,1,1,9,5.04,2.44,1,0,0,2,2
1,5.21,0,3,4,1,6,1,0,5.06,12.55,1,0,0,0,0
0,9.43,0,3,5,0,4,0,0,6.6,9.84,3,0,0,0,0
0,16.04,1,3,5,0,1,1,6,7.26,22.93,1,0,0,0,0
1,4.62,3,4,0,1,2,0,2,8.02,12.59,1,0,0,0,1
1,3.92,4,2,3,0,3,2,3,6.44,32.29,1,1,0,5,0
0,1.45,0,2,5,0,0,0,0,5.57,1.83,0,0,0,3,0
1,7.42,0,5,5,0,2,0,0,17.13,9.55,3,0,0,0,1
1,3.84,1,2,5,0,2,0,2,8.0,3.92,3,0,0,0,0
1,14.87,1,4,5,0,0,0,4,5.53,36.73,3,0,0,0,0
1,2.75,1,6,8,1,0,0,4,3.54,6.58,3,0,0,0,0
0,8.37,0,3,10,0,1,0,0,3.42,15.05,1,0,0,0,0
0,7.2,0,5,0,1,2,0,4,7.97,16.33,1,0,0,0,0
1,1.41,5,5,5,0,1,0,5,4.13,1.36,3,0,0,2,1
0,19.13,0,3,5,0,1,1,6,8.42,25.2,1,0,0,0,1
1,6.7,2,2,7,1,0,0,2,6.54,5.88,4,0,0,0,0
0,5.11,0,8,6,0,6,0,4,3.74,6.34,1,0,0,0,1
1,6.73,0,8,3,1,1,0,0,7.66,12.36,1,1,1,0,0
1,4.2,3,7,0,0,1,0,10,6.18,6.84,1,0,0,0,0
1,3.28,1,3,6,0,0,0,0,2.93,7.45,1,0,0,2,1
1,3.31,5,8,5,0,1,0,7,6.11,4.47,1,0,0,0,0
1,5.23,3,4,3,1,2,0,2,7.37,11.99,1,0,0,0,0
1,12.11,0,1,5,1,5,0,8,8.57,23.4,0,0,0,0,0
0,6.57,3,2,5,0,4,0,0,13.41,11.69,1,0,0,0,1
1,5.31,3,7,0,0,1,0,5,6.71,7.53,1,0,0,0,0
0,7.02,0,9,5,1,5,0,4,5.33,11.61,0,0,0,0,1
1,2.97,5,2,5,0,1,0,5,8.36,2.45,8,0,0,2,1
1,7.83,0,9,5,1,0,0,5,8.55,8.94,3,0,0,0,0
1,7.9,2,9,7,1,0,0,4,5.9,8.66,3,0,0,0,1
0,1.41,3,0,5,1,1,0,0,5.84,1.13,3,0,0,3,1
1,2.92,4,2,9,0,3,2,3,3.03,14.9,3,0,0,0,0
0,11.4,1,3,3,0,4,0,2,24.63,14.03,1,1,7,6,0
0,6.13,0,8,5,0,4,0,2,5.68,10.28,3,0,0,0,0
1,2.75,2,3,3,0,0,0,0,3.04,7.67,1,0,0,2,0
0,2.77,0,2,1,0,1,1,0,6.98,4.74,1,0,0,0,1
1,1.36,4,4,5,0,1,0,5,4.05,1.45,3,0,0,0,2
0,5.89,0,2,0,0,4,0,0,5.95,12.21,1,1,3,0,0
0,6.28,2,2,5,0,0,0,0,5.61,9.09,1,0,0,4,0
1,7.59,6,0,5,0,4,0,0,7.84,16.8,1,1,2,0,0
1,3.37,5,8,5,0,1,0,0,6.23,4.42,1,0,0,0,1
1,5.82,5,9,5,0,1,0,4,6.3,6.44,3,1,0,0,0
1,6.9,6,0,5,0,4,0,0,6.87,14.36,1,1,2,0,1
0,8.78,0,2,5,1,1,0,0,9.54,17.55,1,1,3,0,0
0,4.52,1,2,8,0,1,1,4,5.36,5.17,6,0,0,0,2
0,7.36,0,3,5,1,5,0,4,5.98,16.14,3,1,2,0,1
0,3.19,0,3,3,0,0,1,0,3.07,6.14,1,0,0,2,0
0,5.92,6,2,6,0,3,2,3,6.09,21.48,3,0,0,4,3
0,8.82,0,9,0,1,5,0,4,7.7,15.06,0,0,0,0,1
0,4.97,0,2,11,0,1,0,10,6.75,7.74,9,0,0,4,0
0,3.31,2,9,6,1,0,0,2,4.11,6.07,3,0,0,0,1
0,6.54,1,6,0,0,3,2,3,5.12,16.13,0,0,0,0,0
1,6.55,2,9,5,1,0,0,0,5.59,8.13,4,0,0,0,0
1,2.77,0,0,7,0,1,0,0,6.86,2.56,1,0,0,0,0
1,0.73,0,2,8,0,0,0,8,4.42,0.99,6,0,0,2,1
0,11.91,2,2,2,1,0,0,8,6.61,17.97,1,0,0,0,0
0,8.53,0,2,5,1,5,0,9,11.6,28.28,1,0,0,0,0
1,8.63,0,2,3,0,2,0,0,9.87,10.22,1,0,0,0,0
1,3.41,0,3,0,0,1,0,4,8.98,8.32,0,1,4,0,3
1,2.44,0,0,5,0,1,0,0,6.44,2.49,3,0,0,0,0
1,7.63,0,2,7,0,2,1,0,6.16,18.37,1,0,0,0,0
1,8.79,0,3,5,0,6,0,5,5.75,8.3,3,0,0,0,0
0,8.06,0,2,0,0,5,0,4,7.06,14.64,0,1,0,0,0
0,0.82,6,0,3,0,1,0,9,2.98,1.39,1,0,0,0,3
1,3.18,4,2,6,0,3,2,3,3.45,14.43,8,0,0,0,0
0,6.63,2,2,0,0,1,0,0,5.61,15.24,8,0,0,0,2
1,8.3,2,2,8,1,0,0,8,4.36,11.79,1,1,0,0,0
1,7.96,0,8,3,1,1,0,9,8.38,12.98,1,1,1,2,1
1,6.01,0,8,0,0,1,0,4,8.63,10.54,0,1,0,0,0
0,9.07,6,2,6,0,1,0,0,7.88,14.06,1,0,0,2,1
1,8.45,1,5,7,0,2,1,0,6.06,18.23,1,0,0,0,0
0,8.19,0,2,5,1,5,0,9,11.01,24.1,1,0,0,0,1
1,2.8,4,10,6,0,3,2,3,0.0,0.0,7,0,0,0,1
1,2.5,1,6,10,0,1,0,7,4.89,5.19,5,0,0,4,0
1,3.07,5,3,0,0,1,0,4,8.12,7.08,0,1,4,0,0
1,4.27,4,2,3,0,3,2,3,5.6,31.39,1,1,0,5,0
1,0.79,0,2,8,0,0,0,8,3.81,0.96,0,0,0,2,1
0,0.98,0,0,7,1,1,0,2,5.95,0.96,3,0,0,0,0
1,1.88,4,4,5,0,1,0,5,3.56,1.43,3,0,0,0,0
1,3.69,1,9,5,0,2,0,4,4.26,2.65,3,0,0,4,1
1,4.28,1,10,5,0,2,1,4,5.23,4.24,0,0,0,0,1
1,10.77,1,5,4,0,1,0,0,11.18,16.77,1,1,2,0,1
0,0.71,5,0,6,0,1,0,9,2.44,1.35,1,0,0,0,3
0,18.13,0,2,9,0,1,1,4,8.19,22.69,1,0,0,0,1
0,7.03,6,8,3,0,4,0,2,4.49,11.76,1,1,7,2,0
0,6.74,0,2,3,0,4,0,0,5.92,12.06,0,1,3,0,1
1,14.35,0,0,8,0,4,0,0,18.63,17.03,1,1,3,0,1
1,1.08,0,0,3,0,1,1,0,2.89,1.39,3,0,0,4,0
0,3.67,0,2,0,0,1,0,8,2.48,7.19,1,0,0,0,1
1,7.91,5,8,3,0,1,0,2,15.24,17.32,1,0,0,0,0
1,4.28,0,8,5,0,1,0,0,5.58,3.55,3,1,6,2,1
1,1.29,5,2,6,0,1,0,9,4.89,1.85,3,0,0,0,0
1,8.18,4,1,4,0,1,0,8,1.75,17.05,3,0,0,0,2
1,7.51,1,2,5,0,2,0,0,10.5,12.0,1,0,0,0,1
0,5.91,6,2,6,0,3,2,3,5.84,21.45,3,0,0,4,3
1,5.66,0,1,7,0,1,0,9,8.47,10.16,0,1,4,0,0
0,1.54,3,0,5,0,1,0,9,5.09,1.39,8,0,0,4,1
0,3.33,0,3,3,0,0,1,0,2.51,4.88,1,0,0,1,0
0,5.06,0,6,0,0,3,2,3,4.78,13.19,0,0,0,0,0
0,8.99,0,5,5,1,5,0,4,8.61,22.31,3,0,0,0,0
0,13.12,1,2,3,0,0,0,4,2.77,18.16,1,0,0,0,0
1,3.17,3,2,3,0,1,0,5,3.23,3.46,5,0,0,5,0
1,3.01,5,2,4,0,1,0,10,5.42,6.45,9,0,0,1,1
0,7.47,0,8,3,0,4,0,2,4.67,12.58,1,1,7,2,0
0,3.36,0,2,3,0,2,0,5,7.48,7.62,3,1,0,2,3
0,4.37,0,2,5,0,5,0,5,5.32,12.22,3,0,0,0,1
1,2.92,5,3,0,0,1,0,6,8.94,7.68,0,1,4,0,1
0,11.4,1,1,1,0,1,0,1,4.49,18.85,1,1,0,0,0
0,25.29,0,2,5,0,5,0,0,14.98,83.3,3,0,0,0,0
0,7.14,1,0,8,0,6,0,5,8.14,11.63,6,0,0,0,0
0,3.18,0,3,3,0,0,1,0,3.23,5.43,1,0,0,2,0
1,14.16,1,5,8,0,4,0,0,16.76,17.01,1,1,2,0,0
0,5.98,6,2,5,0,3,2,3,5.39,18.52,3,0,0,0,3
1,1.58,0,0,5,0,0,1,5,2.13,2.59,3,0,0,3,1
0,0.8,6,0,6,0,1,0,9,2.55,1.47,1,0,0,0,0
1,7.62,0,8,3,1,1,0,0,8.87,16.18,1,1,1,2,1
0,13.9,1,3,5,1,4,0,9,11.56,17.8,1,1,1,1,1
0,7.97,0,3,0,0,1,1,0,8.69,12.56,3,1,0,0,1
0,8.36,1,3,7,0,0,1,0,8.42,15.33,3,1,0,0,0
1,2.05,5,2,5,0,1,0,9,4.93,1.88,3,0,0,0,1
1,5.35,5,3,5,0,1,0,9,6.9,10.92,1,1,4,0,1
1,6.93,5,8,6,0,1,0,6,11.95,12.94,1,1,4,0,3
1,5.21,0,3,9,0,4,0,4,6.84,6.98,2,0,0,1,1
1,18.07,1,9,5,0,0,0,4,6.32,36.93,3,0,0,0,0
0,1.63,1,6,5,0,1,1,9,5.43,2.71,1,0,0,2,1
1,4.92,1,2,5,0,0,0,0,4.33,8.94,3,0,0,0,0
0,6.45,0,9,1,0,0,1,1,6.32,12.34,1,0,0,1,0
0,6.92,6,3,3,0,4,0,5,4.85,13.39,1,1,7,1,1
0,8.76,6,2,5,0,1,0,0,8.39,13.03,1,0,0,2,0
1,19.35,1,9,5,0,0,0,4,7.34,38.52,2,0,0,0,1
0,6.1,0,2,0,0,4,0,0,6.4,14.12,0,1,3,0,1
1,14.81,0,3,5,1,5,0,8,9.39,31.45,0,0,0,0,0
1,8.85,0,3,5,0,6,0,5,6.66,9.34,3,0,0,0,0
1,1.94,0,0,5,0,0,1,5,1.94,2.58,3,0,0,3,1
1,9.12,0,1,5,0,1,0,5,11.46,16.35,3,0,0,3,0
1,4.31,5,5,5,0,1,0,5,9.32,6.19,1,1,0,2,0
1,8.29,5,2,3,0,4,0,0,10.79,10.79,1,1,1,0,0
0,8.3,0,3,5,0,4,0,0,5.79,9.86,1,0,0,0,2
1,13.84,0,4,5,1,5,0,4,9.12,31.6,0,0,0,0,0
1,4.21,3,7,0,0,1,0,10,6.16,7.51,1,0,0,0,1
0,10.76,0,8,5,1,4,0,2,9.54,18.58,1,1,1,4,0
0,5.4,2,2,5,0,0,0,0,4.89,9.04,1,0,0,0,1
1,10.74,0,9,0,0,1,0,8,11.79,23.19,0,1,6,0,1
0,5.38,0,2,6,0,1,1,5,6.48,4.91,1,1,1,0,1
1,1.18,3,2,10,0,1,0,0,2.76,3.35,5,0,0,0,0
1,10.14,0,8,0,0,1,0,4,13.34,12.22,0,1,0,0,1
1,8.72,0,1,5,0,1,0,5,11.54,18.23,3,0,0,3,0
1,6.18,5,3,7,0,4,0,6,8.75,8.52,2,0,0,2,1
1,4.86,2,9,8,0,0,0,4,3.3,6.34,6,0,0,0,0
0,5.47,1,8,5,0,6,0,9,4.35,7.06,1,0,0,0,1
0,0.88,1,0,5,1,1,0,2,5.52,1.03,3,0,0,0,0
0,14.66,1,1,6,0,0,0,0,7.66,24.45,1,0,0,4,0
0,4.35,1,2,5,0,0,0,8,6.06,7.64,6,0,0,0,2
1,0.84,5,2,5,0,1,0,6,3.77,2.64,3,1,0,1,0
0,3.91,0,2,5,0,0,0,8,6.05,7.12,6,0,0,0,0
1,6.09,1,2,0,0,6,1,4,6.14,13.81,0,0,0,0,0
1,8.54,5,8,3,0,1,0,2,16.99,18.77,1,0,0,0,0
1,11.53,2,2,4,1,0,0,5,6.44,15.04,3,0,0,3,0
1,7.37,5,8,5,0,1,0,6,18.22,18.66,1,0,0,0,0
0,8.08,1,3,3,1,4,0,9,9.87,17.34,1,1,6,1,1
0,3.74,5,0,3,0,2,1,0,4.77,2.94,0,0,0,2,0
1,0.64,0,2,8,0,0,0,8,3.28,0.7,6,0,0,2,0
1,3.4,0,4,5,0,6,0,2,4.38,3.06,3,0,0,2,1
0,11.98,2,2,10,0,6,0,7,8.46,23.61,5,0,0,0,0
1,3.42,5,8,5,0,1,0,0,4.75,4.24,1,0,0,0,1
0,7.5,1,3,5,0,6,0,0,6.84,11.29,3,0,0,4,1
0,7.97,1,2,5,0,6,0,5,9.35,12.34,6,0,0,0,0
0,6.45,0,8,5,0,4,0,2,5.96,10.89,3,0,0,0,0
0,1.39,0,3,0,0,1,0,0,5.34,1.98,0,0,0,3,1
0,3.71,5,8,5,0,1,0,5,7.1,4.01,1,0,0,0,3
1,11.88,1,2,6,1,0,0,5,4.4,21.98,8,0,0,0,0
1,14.34,0,4,5,1,5,0,8,8.7,30.96,0,0,0,0,0
1,8.21,1,6,2,0,6,0,2,4.29,9.63,10,0,0,0,0
1,4.98,0,2,11,0,6,0,9,5.25,7.17,1,1,7,0,1
